,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,uuid,market,enterpriseToRevenue,enterpriseToEbitda,forwardEps,sharesOutstanding,bookValue,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,floatShares,beta,enterpriseValue,priceHint,lastSplitDate,lastSplitFactor,earningsQuarterlyGrowth,priceToSalesTrailing12Months,pegRatio,forwardPE,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,dividendRate,exDividendDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,marketCap,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,address2,Company,IND.,SECT.,Home Market,LP,under_obs,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Gains Losses Not Affecting Retained Earnings,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Other Current Assets,Long Term Debt,Capital Surplus,Minority Interest,Good Will,Deferred Long Term Asset Charges,Deferred Long Term Liab,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Dividends Paid,Investments,Issuance Of Stock,Other Cashflows From Financing Activities,Change To Operating Activities,Effect Of Exchange Rate,Repurchase Of Stock
APG1L.VS,14311,Consumer Cyclical,2156,"APB Apranga, together with its subsidiaries, engages in the retail trade of apparel in the Baltic States. It operates a chain of 179 stores in Lithuania, Latvia, and Estonia, as well as online stores. The company was founded in 1945 and is based in Vilnius, Lithuania. APB Apranga operates as a subsidiary of MG Baltic Investment.",Vilnius,370 5 239 0808,Lithuania,[],https://aprangagroup.lt,1,Ukmerges g. 362,370 5 239 0800,Apparel Retail,0.1113,0.06973,0.44831002,22504000.0,0.342,0.0825,25354000.0,,none,82230000,19832376.0,,1.95,0.407,1.424,0.07707,,,117.007,0.27128,,12727000.0,61638000.0,227806000.0,0.23,EUR,3.901,0.377,,LIT,Apranga,APB Apranga,Europe/Vilnius,EET,False,7200000,EQUITY,APG1L.VS,finmb_9236437,fd0d45ba-3c37-3919-b40e-8b260b6032b9,vs_market,0.665,5.975,0.14,55292000.0,1.103,1640908800,0.6327,15886000.0,0.071,1.7679057,0.15593,1703980800,1656547200,13344162.0,0.886996,151477584,4,1134345600.0,4:1,0.718,0.47329482,,13.928572,1.95,1.95,1.9551,0.06666666,1.7241,1.955,18755,1.95,1.8507,0.13,1.95,18755,0.5,1652227200.0,1.95,EUR,27.464788,12917,107819400.0,19835,1.95,1.95,0.0,12917,2.58,,1.64,1.945,False,0.26950002,0.0,1.955,1.95,https://logo.clearbit.com/aprangagroup.lt,,Apranga,CON,RET,VLN,1,0,636000.0,91377000.0,74378000.0,1406000.0,165755000.0,16035000.0,58396000.0,2158000.0,-53000.0,2816000.0,29743000.0,35395000.0,200000.0,-53000.0,89094000.0,70809000.0,2400000.0,73742000.0,735000.0,3076000.0,35909000.0,7287000.0,,,,,,,,13211000.0,10896000.0,71386000.0,82230000.0,13285000.0,13285000.0,-2441000.0,-1099000.0,2315000.0,189745000.0,176460000.0,107515000.0,-74000.0,,10896000.0,10896000.0,-8259000.0,-4829000.0,-10478000.0,-10478000.0,3534000.0,18841000.0,19726000.0,135000.0,-182000.0,-2477000.0,-935000.0,-7703000.0,,,,,,,
ARC1T.TL,10111,Real Estate,18,"Arco Vara AS, together with its subsidiaries, engages in the real estate development and services related to real estate primarily in Estonia and Bulgaria. It is involved in the development, construction, and sale of residential and non-residential buildings; and rental and operation of own or leased real estate properties. The company also offers real estate brokerage and valuation services. Arco Vara AS was founded in 1992 and is headquartered in Tallinn, Estonia. As of May 06, 2021, Arco Vara AS operates as a subsidiary of OÜ Alarmo Kapital.",Tallinn,372 6 144 630,Estonia,[],https://www.arcovara.com,1,Rotermanni 10,,Real Estate—Development,0.11252,0.08989,0.2353,-5226000.0,4.075,0.10261,999000.0,,none,3029000,-1085875.0,,1.768,0.573,2.498,0.01918,,,51.083,0.04632,,2549000.0,9342000.0,8878000.0,0.245,EUR,0.88,0.448,,TAL,Arco Vara,Arco Vara AS,Europe/Tallinn,EET,False,7200000,EQUITY,ARC1T.TL,finmb_21956128,91597962-96af-3738-ba00-4ea79290e17b,tl_market,2.846,25.289,,10388400.0,1.78,1640908800,0.0627,798000.0,0.289,0.9932585,0.71783996,1703980800,1656547200,885816.0,0.649767,25263516,4,,,0.786,2.068787,,,1.768,1.768,1.934815,0.03393665,0.7143,1.768,1425,1.768,1.76948,0.06,1.768,1425,0.04,1670371200.0,1.76,EUR,6.117647,828,18366692.0,1897,1.76,1.768,0.0,828,2.99,1.68,1.65,1.764,False,0.0225,0.0,1.768,1.768,https://logo.clearbit.com/arcovara.com,2th floor,Arco Vara,REA,REA,TLN,0,0,87000.0,13552000.0,17962000.0,1549000.0,31514000.0,7272000.0,6855000.0,,,9948000.0,1863000.0,8411000.0,5624000.0,,154000.0,21325000.0,,17875000.0,,120000.0,15761000.0,673000.0,,5036000.0,3835000.0,,,,,2179000.0,2071000.0,1306000.0,3029000.0,1793000.0,1793000.0,-70000.0,-447000.0,108000.0,11613000.0,9820000.0,8584000.0,386000.0,,2071000.0,2071000.0,0.0,-8000.0,1203000.0,2388000.0,-337000.0,-2717000.0,64000.0,1000.0,,,-4852000.0,-9000.0,-480000.0,,2250000.0,-585000.0,,,
AUG1L.VS,8130,Consumer Defensive,1205,"Auga Group AB, together with its subsidiaries, operates as an organic food production company in Lithuania. The company operates through four segments: Crop-Growing, Mushroom Growing, Dairy, and Fast-Moving Consumer Goods. It is involved in mushroom growing; organic milk production, and cattle raising and sale activities; and growing of various crops such as organic wheat, legumes, rapeseed, sugar beets, oat, and barley as well as other crops, including grasses and corn for feed. The company offers ready-to-eat soups, preserved mushrooms, packaged vegetables, bottled milk, milk-shakes, eggs, poultry, flour, and other products. It also provides human resource management, trade and logistics, IT system development, machinery leasing, land rental, and agricultural services. The company manages approximately 39,100 hectares of organically certified arable land. It also exports its products to Scandinavian and Baltic countries, the United States, Germany, Japan, Netherlands, and the United Kingdom. The company was incorporated in 2003 and is headquartered in Vilnius, Lithuania. Auga Group AB is a subsidiary of Baltic Champs Group, UAB.",Vilnius,370 5 233 5340,Lithuania,[],https://www.auga.lt,1,Konstitucijos av. 21C,,Farm Products,0.03286,-0.1727,0.12368,8264000.0,0.204,-0.0762,2385000.0,0.7,none,6724000,9407250.0,0.7,0.401,,1.652,-0.01526,1.0,0.7,127.892,-0.14178,0.7,4455000.0,106053000.0,72588000.0,0.02,EUR,0.315,0.419,,LIT,AUGA group,Auga Group AB,Europe/Vilnius,EET,False,7200000,EQUITY,AUG1L.VS,finmb_257213151,ddccb24a-2d99-3545-bc04-591db71e6fda,vs_market,2.639,80.318,,227416000.0,0.407,1640908800,0.11598,-12722000.0,0.008,0.985258,0.66251,1703980800,1656547200,74840414.0,,191559008,4,,,29.438,1.2563208,,,0.4005,0.4,0.4481565,,0.0,0.4015,30278,0.4005,0.39914,,0.4,30278,,,0.397,EUR,50.124996,8938,91193816.0,22246,0.397,0.401,0.0,8938,0.5447,,0.378,0.401,False,,0.0,0.4015,0.401,https://logo.clearbit.com/auga.lt,Quadrum North,AUGA group,CON,FOO,VLN,1,0,19000.0,133499000.0,78622000.0,2748000.0,212479000.0,65951000.0,-7288000.0,4658000.0,13252000.0,12531000.0,2446000.0,45085000.0,5767000.0,13252000.0,139257000.0,57149000.0,57000.0,75137000.0,,7180000.0,43494000.0,19482000.0,315000.0,46115000.0,6707000.0,358000.0,3466000.0,2089000.0,,-16278000.0,-15427000.0,14321000.0,6724000.0,-7395000.0,-7395000.0,-202000.0,-4456000.0,-843000.0,71721000.0,79116000.0,64997000.0,-8883000.0,,-15435000.0,-15613000.0,4386000.0,-5887000.0,-5138000.0,-5138000.0,-95000.0,10930000.0,14303000.0,380000.0,-8051000.0,2616000.0,13103000.0,-7015000.0,,-2000.0,,,,,
BLT1T.TL,11415,Consumer Cyclical,157,"AS Baltika, together with its subsidiaries, operates as a fashion retailer. It operates through Retail, E-commerce, and All Other segments. The company engages in the design, development, production, and sales arrangement of the fashion brands of clothing; and the provision of materials and sewing services. It develops and operates fashion under the Ivo Nikkolo brand name. The company sells its products through retail and e-commerce channel, and other sales channels, including wholesale, franchise, and consignation clients. As of December 31, 2021, it had 34 Baltika's retail-stores in Estonia, Latvia, and Lithuania. AS Baltika was founded in 1928 and is headquartered in Tallinn, Estonia.",Tallinn,372 6 302 700,Estonia,[],https://www.baltikagroup.com,1,Valukoja 10,372 6 302 814,Apparel Retail,-0.24394,-0.33558,0.52053,733000.0,-0.281,-0.28102,-2638000.0,,none,6120000,1053625.0,,0.156,,0.579,-0.16490999,,,,,,406000.0,10013000.0,10814000.0,0.008,EUR,0.2,0.107,,TAL,Baltika,AS Baltika,Europe/Tallinn,EET,False,7200000,EQUITY,BLT1T.TL,finmb_8353387,7d209732-b0a4-3ffe-9fad-8b796a077d33,tl_market,1.651,-6.768,,54079500.0,0.02,1640908800,0.0,-3629000.0,0.01,7.8,0.038510002,1703980800,1656547200,52300811.0,1.644349,17854122,4,1556582400.0,1:10,,0.78013706,,,0.156,0.16,0.1985475,,0.0,0.16,2174,0.156,0.15452,,0.16,2174,,1180483200.0,0.156,EUR,15.6,3039,8436402.0,2521,0.156,0.16,0.0,3039,0.29,,0.1355,0.156,False,,0.0,0.16,0.156,https://logo.clearbit.com/baltikagroup.com,,Baltika,CON,CON,TLN,0,1,477000.0,11183000.0,312000.0,247000.0,11495000.0,5408000.0,-9527000.0,,4431000.0,252000.0,614000.0,4494000.0,356000.0,4431000.0,6811000.0,3801000.0,,-319000.0,,549000.0,2491000.0,1032000.0,47000.0,2425000.0,,,154000.0,80000.0,,-2835000.0,-2900000.0,9551000.0,6120000.0,-2378000.0,-2378000.0,-1053000.0,-330000.0,65000.0,11770000.0,14148000.0,5650000.0,-457000.0,,-2900000.0,-2900000.0,-581000.0,-369000.0,-1600000.0,-1874000.0,-813000.0,1430000.0,3601000.0,,976000.0,-379000.0,713000.0,-228000.0,,,,-274000.0,,,
CPA1T.TL,15014,Financial Services,300,"Coop Pank AS, together with its subsidiaries, provides banking and financing solutions to private and business clients in Estonia. It operates through Corporate Banking, Retail Banking, Consumer Financing, Leasing, and Other segments. The company offers banking plans; saving accounts and deposits; energy, small, car, home renovation, travel, home, refinancing, mortgage, working capital, investment, seasonal work, and apartment association loans; and payment, overdraft, guarantee, settlement, factoring, and leasing services, as well as debit and credit cards. It also provides Internet and mobile banking services; real estate management services; traffic, motor, comprehensive, travel, and home insurance products; and small and medium business property, construction machinery, and other equipment insurance services. The company was formerly known as AS Eesti Krediidipank. Coop Pank AS was incorporated in 1992 and is based in Tallinn, the Republic of Estonia.",Tallinn,372 66 90966,Estonia,[],https://www.cooppank.ee,1,Maakri 30,372 66 16037,Banks—Regional,0.0,0.38179,0.0,,0.301,0.42176998,,,none,37145000,,,2.296,,,0.01283,,,,0.14818,,287158016.0,43211000.0,44868000.0,3.147,EUR,0.408,,,TAL,Coop Pank,Coop Pank AS,Europe/Tallinn,EET,False,7200000,EQUITY,CPA1T.TL,finmb_20480537,f24e9a17-6fa1-337d-b191-c0cc09a1fa76,tl_market,-0.934,,,90623904.0,1.108,1640908800,0.00022,17130000.0,0.09,2.0722022,0.33635,1703980800,1664496000,39122482.0,0.583388,-41910300,4,,,0.336,4.637436,,,2.26,2.3,2.448355,,0.1579,2.3,48508,2.26,2.27944,,2.3,48508,0.03,1651017600.0,2.26,EUR,25.51111,31987,208072480.0,30302,2.26,2.296,,31987,3.1,,2.17,2.286,False,0.0136,,2.3,2.296,https://logo.clearbit.com/cooppank.ee,,Coop Pank,FIN,BAN,TLN,0,0,4558000.0,1130233000.0,111743000.0,3272000.0,1241976000.0,62186000.0,37089000.0,1787000.0,238000.0,956365000.0,241286000.0,1096444000.0,,238000.0,9659000.0,258692000.0,5945000.0,100428000.0,2001000.0,320000.0,3717000.0,1090214000.0,11175000.0,26236000.0,12230000.0,,6757000.0,,2899000.0,14288000.0,13463000.0,17910000.0,37145000.0,0.0,14692000.0,4543000.0,,825000.0,37145000.0,22453000.0,0.0,-404000.0,,13463000.0,13463000.0,0.0,-4521000.0,9290000.0,350337000.0,76847000.0,-268965000.0,3539000.0,,,,2855000.0,-5574000.0,,-2642000.0,486000.0,340561000.0,-289250000.0,-4000.0,
DGR1R.RG,1013,Financial Services,300,"DelfinGroup AS, together with its subsidiaries, operates as a technology-based financial services company under the Banknote and VIZIA brands in Latvia. It offers consumer and pawn loans, and buy now pay later loans, as well as loans developed for senior citizens. The company also sells pawn shop items; and provides debt collection services and loan cessions to external debt collection companies. As of April 13, 2022, it had 90 branches. DelfinGroup AS also offers its products through online. The company was formerly known as SIA ExpressCredit and changed its name to DelfinGroup AS in February 2020. The company was incorporated in 2009 and is based in Riga, Latvia. DelfinGroup AS operates as a subsidiary of SIA Express Holdings.",Riga,371 66 15 55 55,Latvia,[],https://www.delfingroup.lv,1,50A Skanstes Street,,Credit Services,0.0,0.21440001,0.82045,-15080924.0,0.281,0.26715,,,none,17681568,,,1.46,0.301,3.283,0.10186,,,271.906,0.43302,,2314369.0,43573428.0,24371652.0,0.051,EUR,0.558,3.139,,RIS,DelfinGroup,DelfinGroup AS,Europe/Riga,EET,False,7200000,EQUITY,DGR1R.RG,finmb_250803573,b2479736-c42c-321e-84d5-b7c85545eb5e,rg_market,4.382,,,40000000.0,2.313,1640908800,0.0,5225186.0,0.974,0.6312149,0.88308996,1703980800,1656547200,5320974.0,,106791192,4,,,0.475,2.3962266,,,1.46,1.46,1.43513,,0.2394,1.46,4668,1.46,1.46052,,1.46,4668,0.07,1664323200.0,1.452,EUR,1.4989734,3524,58400000.0,5668,1.452,1.46,,3524,1.526,,1.2,1.454,False,0.047399998,,1.46,1.46,https://logo.clearbit.com/delfingroup.lv,,DelfinGroup,FIN,FIN,RIG,1,0,491522.0,34687219.0,17377321.0,131868.0,52064540.0,4531959.0,5954404.0,,,18834.0,2459862.0,13123091.0,13003.0,,3535761.0,47890807.0,,16758183.0,,43314019.0,1949490.0,805784.0,167436.0,18911630.0,6890958.0,,127616.0,,,5203024.0,4223833.0,9724026.0,17681568.0,0.0,5203237.0,2754305.0,,979191.0,21628151.0,16424914.0,3946583.0,-213.0,,4223833.0,4223833.0,-64256.0,-74121.0,-2451236.0,1248543.0,-2132092.0,-3306514.0,1061030.0,,-415483.0,,2047519.0,-548605.0,-3211138.0,,8085782.0,-662865.0,-10236384.0,,
EEG1T.TL,10151,Communication Services,1400,"AS Ekspress Grupp provides digital content and advertising solutions. Its services comprise online news and classified portals management; selling advertising banners, and other advertising space and products through its own portals; and selling advertising space in newspapers and magazines; and publishing newspapers, magazines, customer and advertising fliers, and books, as well as sale of digital outdoor advertising. The company also operates electronic ticket sales platform and ticket sales sites, as well as production studio for content creation; and sells video production, media, and infrastructure solutions. It has operations in the Estonia, Scandinavia, Lithuania, Latvia, rest of Europe, and internationally. The company was founded in 1989 and is based in Tallinn, Estonia.",Tallinn,372 6 698 381,Estonia,[],https://www.egrupp.ee,1,Parda 6,,Advertising Agencies,0.09661999,0.03428,0.23838,8650000.0,0.233,0.07042,5705000.0,1.8,hold,13295000,7920000.0,1.8,1.495,0.022,0.901,0.02777,1.0,1.8,43.149,0.078379996,1.8,6793000.0,22477000.0,59044000.0,0.224,EUR,1.949,0.877,3.0,TAL,Ekspress Grupp,AS Ekspress Grupp,Europe/Tallinn,EET,False,7200000,EQUITY,EEG1T.TL,finmb_22950044,4331bcdb-d85d-3817-97ab-3a4714316f77,tl_market,1.028,10.637,,30282900.0,2.038,1640908800,0.07596,4204000.0,0.105,0.7335623,0.73410004,1703980800,1656547200,7698850.0,0.64938,60683204,4,,,0.021,0.7667661,,,1.495,1.495,1.620725,0.04682274,1.4634,1.495,1843,1.495,1.4847,0.07,1.495,1843,0.08,1652400000.0,1.495,EUR,14.238095,1419,45272936.0,1553,1.495,1.5,0.0,1419,1.9,,1.355,1.495,False,0.0541,0.0,1.495,1.495,https://logo.clearbit.com/egrupp.ee,,Ekspress Grupp,CON,MED,TLN,0,0,13549000.0,40566000.0,53552000.0,4681000.0,94258000.0,18478000.0,20506000.0,601000.0,-348000.0,2517000.0,10962000.0,20947000.0,1680000.0,36000.0,7964000.0,20553000.0,4099000.0,-5573000.0,,8603000.0,266000.0,3125000.0,2000.0,14670000.0,14916000.0,140000.0,45576000.0,42000.0,147000.0,4409000.0,2243000.0,9247000.0,13295000.0,4447000.0,4447000.0,-399000.0,-709000.0,276000.0,53516000.0,49069000.0,40221000.0,-38000.0,-1876000.0,4133000.0,2243000.0,1464000.0,1044000.0,-950000.0,-4424000.0,4693000.0,8073000.0,3410000.0,7157000.0,-33000.0,-1599000.0,1836000.0,-2786000.0,,-306000.0,,,,,-446000.0
EGR1T.TL,11318,Utilities,220,"Enefit Green AS operates renewable energy production units in Estonia, Latvia, Lithuania, and Poland. It operates through Wind Energy, Cogeneration, Solar energy, and Other segments. The company produces renewable energy and heat from wind, sun, biomass, mixed municipal waste, wood chips, pellets, natural gas, and water. It has an installed capacity of 457 megawatts. The company was founded in 2016 and is based in Tallinn, Estonia. Enefit Green AS is a subsidiary of Eesti Energia AS.",Tallinn,372 58 654 999,Estonia,[],https://enefitgreen.ee,1,Lelle 22,,Utilities—Renewable,0.69143,0.48703998,0.74584997,141684000.0,0.305,0.51732,151160992.0,4.9,strong_buy,130382000,26576900.0,4.95,4.26,-0.969,2.667,0.08799,2.0,4.95,23.844,0.18587999,5.0,90857000.0,155424000.0,218620992.0,0.344,EUR,1.01,2.335,1.5,TAL,Enefit Green,Enefit Green AS,Europe/Tallinn,EET,False,7200000,EQUITY,EGR1T.TL,finmb_410153826,b173ff6d-7392-3f44-bbe2-2a07bb178225,tl_market,5.368,7.763,,264276000.0,2.173,1640908800,0.03266,106478000.0,2.424,1.9604234,0.77472997,1703980800,1656547200,59528221.0,,1173470080,4,,,0.797,5.1496234,,,4.22,4.232,4.067025,1.3412323,0.1466,4.278,91399,4.22,4.17852,5.66,4.232,91399,0.15,1653955200.0,4.232,EUR,1.7574258,85126,1125815808.0,81497,4.232,4.262,,85126,4.932,,3.334,4.26,False,0.036,,4.278,4.26,https://logo.clearbit.com/enefitgreen.ee,,Enefit Green,UTI,UTI,TLN,0,0,9016000.0,184049000.0,633607000.0,56000.0,817656000.0,264276000.0,158152000.0,46246000.0,150828000.0,21230000.0,80454000.0,43919000.0,29348000.0,150828000.0,615253000.0,112356000.0,578000.0,565368000.0,,14755000.0,9529000.0,14291000.0,7618000.0,91049000.0,60351000.0,,59223000.0,442000.0,,81246000.0,79661000.0,1251000.0,130382000.0,83331000.0,83331000.0,7654000.0,-2816000.0,1585000.0,183052000.0,99721000.0,52670000.0,-2085000.0,,79661000.0,79661000.0,-2062000.0,-74680000.0,-40584000.0,27150000.0,69680000.0,117210000.0,38078000.0,68000.0,1556000.0,-712000.0,-1363000.0,-74844000.0,-27100000.0,,100000000.0,-5166000.0,1984000.0,,
GRG1L.VS,27101,Basic Materials,864,"Grigeo AB produces and sells hygiene, and cleanliness paper in Lithuania It operates through three segments: Paper and Paper Products; Wood Fibre Boards and Wood Products; and Raw Material for Corrugated Cardboard and Related Products. The comany offers toilet papers, paper towels, paper napkins, tissues, sanitary coverings, dispensers, liquid soap, and soap foam. It is also involved in the manufacture of raw materials for the production of corrugated cardboards; honeycomb cardboard paper and filler for use in the furniture, automotive, packaging, and construction industries, as well as for the manufacture of doors, wall panels, exhibition stands, and trays; and second-hand paper collection and preparation for recycling. In addition, the company engages in the investment management; building construction and real estate development activities; and production and sale of heat energy through steam, thermal, and other sources. The company also exports its products. Grigeo AB was formerly known as Grigeo Grigikes AB and changed its name to Grigeo AB in April 2017. The company was founded in 1823 and is based in Vilnius, Lithuania.",Vilnius,370 5 243 5801,Lithuania,[],https://www.grigeo.lt,1,Vilnious Street 10,370 5 243 5802,Paper & Paper Products,0.11975,0.06574,0.16725,17611000.0,0.344,0.072859995,22910000.0,,none,32918000,-498125.0,,0.738,0.367,1.685,0.06653,,,12.395,0.1381,,12160000.0,11798000.0,191322000.0,0.093,EUR,1.456,1.156,,LIT,Grigeo,Grigeo AB,Europe/Vilnius,EET,False,7200000,EQUITY,GRG1L.VS,finmb_9182846,ac949024-f7c8-3440-a15f-b8c9f85b274d,vs_market,0.501,4.183,,131400000.0,1.353,1640908800,0.02199,12577000.0,0.202,0.5454545,0.59344,1703980800,1656547200,45986058.0,0.490325,95822400,4,,,0.379,0.5068586,,,0.742,0.74,0.78568,0.16172507,0.5263,0.74,6661,0.742,0.71316,0.12,0.74,6661,0.05,1652313600.0,0.738,EUR,3.653465,636,96973200.0,17042,0.738,0.74,0.0,636,0.946,,0.628,0.738,False,0.0689,0.0,0.74,0.738,https://logo.clearbit.com/grigeo.lt,Grigiskes,Grigeo,BAS,BAS,VLN,1,0,512000.0,38836000.0,93576000.0,1542000.0,133125000.0,38106000.0,56512000.0,1973000.0,-2161000.0,4420000.0,12443000.0,32822000.0,2094000.0,-2161000.0,75533000.0,49659000.0,,90063000.0,,22340000.0,14428000.0,25270000.0,448000.0,864000.0,1119000.0,713000.0,3001000.0,,,13635000.0,12266000.0,19077000.0,32918000.0,13772000.0,13772000.0,69000.0,-194000.0,1250000.0,163215000.0,149443000.0,130297000.0,-137000.0,,12385000.0,12266000.0,11340000.0,-14373000.0,-5118000.0,-12844000.0,-5832000.0,21385000.0,9928000.0,,-5280000.0,-7213000.0,237000.0,-12438000.0,-7726000.0,,,,-38000.0,,
