,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio,address2
HAE1T.TL,76606,Industrials,865,"AS Harju Elekter develops, produces, and sells electric and automation solutions in Estonia, Finland, Sweden, Lithuania, and internationally. It operates through three segments: Production, Real estate, Other Activities. The company designs, manufactures, sales, and after-sales services of electricity distribution, switching, and conversion equipment and automation, process control, and industrial control equipment; electrical equipment for the electricity distribution, industrial, and construction sectors; sheet metal products and solutions for the electrical engineering and telecom sectors; multidrive, MCC, and electricity distribution systems for engineering and contract manufacturing; industrial automation devices and substations; and electricity switching and transformation equipment, as well as automatic and control centers. It also offers medium and low voltage power generation and distribution solutions for infrastructure, construction, and renewable energy sectors; prefabricated technical houses; and electrical installation services for shipbuilding. In addition, the company provides industrial property development, maintenance and leasing, and intermediation services; management services; financial investment management; and project management services for installation works. Further, it operates stores in Tallinn and Tartu, which sell products for electrical installation work to retail customers, and small and medium sized electrical installation companies; and sells electrical materials and equipment. The company serves electricity distribution network, infrastructure, industrial, utility, and maritime companies. AS Harju Elekter was founded in 1968 and is headquartered in Keila, Estonia.",Keila,372 6 747 400,Estonia,[],https://www.harjuelekter.com,1,Paldiski mnt 31,,Electrical Equipment & Parts,0.01022,-0.01265,0.08559,,0.093,-0.009649999,1726000,,none,17880000,,,5.64,0.6,1.214,-0.00678,,,42.61,-0.026730001,,504000,34889000,168876992,0.027,EUR,9.666,0.525,,TAL,Harju Elekter,AS Harju Elekter,Europe/Tallinn,EET,False,7200000,,EQUITY,HAE1T.TL,,,finmb_7689753,fc246c37-8c48-3a1a-aece-aca660a8a602,tl_market,,0.819,,80.141,,,,,18018600,,,,4.189,,,,1640908800,0.0,-2136000,0.29,,,1.3463833,0.39066002,1703980800,,1664496000,,,11364156,0.868421,138322752,2,,1115164800,3:1,,,0.632,0.6017688,,,,,,,,,,5.64,5.63,5.91915,0.028368795,,,5.65,,1402,5.64,5.4758,0.16,5.63,1402,,,0.14,1652659200,,,5.62,EUR,19.448277,939,,,,101624904,,,3142,5.62,5.64,0,939,7.74,,,4.85,5.62,False,0.0257,0,5.65,5.64,,https://logo.clearbit.com/harjuelekter.com,,
HMX1R.RG,5001,Industrials,183,"AS HansaMatrix develops and manufactures electronic systems in Baltic, Nordic, other European Union countries, and internationally. The company offers electronics optics and imaging products; and Internet of Things products, including RF connectivity solutions, embedded hardware solutions, embedded software/firmware, and battery powered systems, as well as deploys Android/Linux/Win10 operating systems. It also provides smart city solutions; liquid crystal and optical devices; scientific and medical equipment; robotics and automation solutions; product engineering services; assembled electronic PCB and system testing; quality management systems; and rapid prototype, optical and display systems, and other manufacturing services. In addition, the company engages in the creation and licensing of intellectual property; and develops industrial real estate project. It serves industrial systems, data network infrastructure, Internet of Things, medical, and other B2B (business-to-business) market sectors. The company was formerly known as Hanzas Elektronika, SIA and changed its name to AS HansaMatrix in January 2016. AS HansaMatrix was incorporated in 1999 and is based in Ogre, Latvia.",Ogre,371 6504 9088,Latvia,[],https://www.hansamatrix.com,1,Akmenu street 72,,Conglomerates,0.06225,-0.10594,0.12096,2537902,0.085,-0.0089,1411571,8.88,none,3146263,2025186,8.88,6.68,,0.796,-0.00428,1,8.88,190.933,-0.34687,8.88,151976,10911938,22677096,0.083,EUR,12.377,0.29,,RIS,HansaMatrix,AS HansaMatrix,Europe/Riga,EET,False,7200000,,EQUITY,HMX1R.RG,,,finmb_5921888,9e3a3033-7930-3807-9d35-f9df17ae386e,rg_market,,1.036,,16.644,,,,,1829380,,,,4.629,,,,1640908800,0.21812001,-2402379,-0.256,,,1.4430761,0.52576,1703980800,,1656547200,,,655126,0.541021,23494036,2,,,,,,,0.53888106,,,,,,,,,,6.84,6.8,6.91745,0.004385965,0,,6.86,,945,6.84,6.5116,0.03,6.8,945,,,,1623196800,,,6.68,EUR,,105,,,,12220258,,,786,6.68,6.86,0,105,9.6,,,5.96,6.66,False,,0,6.86,6.68,,https://logo.clearbit.com/hansamatrix.com,,
HPR1T.TL,10112,Real Estate,23,"Hepsor AS engages in the real estate development business in Estonia and Latvia. The company develops, rents, and sells residential and commercial real estate properties. It also provides project management services. The company's portfolio is comprised of 27 development projects with a total sellable space of 180,000 m2. The company was incorporated in 2011 and is based in Tallinn, Estonia.",Tallinn,372 6 609 009,Estonia,[],https://hepsor.ee,1,JAervevana tee 7b,,Real Estate—Development,0.08158,-0.01403,0.17798,-16486000,1.723,0.07991,1227000,,none,3059000,-19337876,,9.41,,6.849,0.01472,,,197.345,0.101730004,,4361000,37243000,15041000,1.131,EUR,4.06,0.504,,TAL,Hepsor,Hepsor AS,Europe/Tallinn,EET,False,7200000,,EQUITY,HPR1T.TL,,,finmb_604229759,2bb9abc1-3bb7-3605-bb69-2c276edadc3e,tl_market,,4.635,,56.822,,,,,,,,,,,,,1640908800,0.0,-211000,,,,,0.7782,1703980800,,1656547200,,,854973,,69720280,2,,,,,,,,,,,,,,,,,9.4,9.4,10.6044,,0,,9.41,,389,9.4,9.5276,,9.4,389,,,,,,,9.35,EUR,,216,,,,,,,362,9.35,9.45,,216,13.12,,,9.01,9.4,False,,,9.41,9.41,,https://logo.clearbit.com/hepsor.ee,,
IGN1L.VS,04215,Utilities,3884,"AB Ignitis grupe, together with its subsidiaries, generates, distributes, trades, and supplies electricity and heat. It also produces renewable electricity; supplies liquefied natural gas; trades and distributes natural gas; and constructs, repairs, maintains electricity networks and related equipment, as well as connects customers to electricity networks. In addition, the company provides information technology, telecommunications, and other services; public procurement, accounting, and legal personnel administration services; and payment collection services. Further, it operates wind power plants; and produces metal structures, as well as involved in the rental, leasing, repairing, and maintenance services for vehicles. AB Ignitis grupe was incorporated in 2008 and is headquartered in Vilnius, Lithuania.",Vilnius,,Lithuania,[],https://ignitisgrupe.lt,1,Laisves ave. 10,,Utilities—Diversified,0.13254,0.07233,0.20336,-47152000,1.246,0.08785,382081984,20,buy,457218000,-786700480,24.7,19.06,2.906,2.655,0.0365,2,24.7,70.607,0.103190005,29.4,346167008,1502354048,2882760960,4.782,EUR,39.222,1.673,2,LIT,Ignitis Grupe,AB Ignitis grupe,Europe/Vilnius,EET,False,7200000,,EQUITY,IGN1L.VS,,,finmb_62369802,16799d05-1f01-3772-b5e8-4ef75cf98b1b,vs_market,,0.862,,6.501,,,1.69,,74283800,,,,24.802,,,,1640908800,0.00465,208502000,2.876,,,0.7684864,0.74941003,1703980800,,1656547200,,,15179965,0.327577,2483800576,2,,,,,,2.756,0.49114347,,,,11.278106,,,,,,18.96,19.04,18.6464,0.030537976,0.41869998,,19.06,,11792,18.96,18.7028,0.579,19.04,11792,,,1.22,1665532800,,,18.98,EUR,6.62726,6514,,,,1415849216,,,12121,18.98,19.06,,6514,21.95,,,17.24,19.04,False,0.0668,,19.06,19.06,,https://logo.clearbit.com/ignitisgrupe.lt,,
KNF1L.VS,92276,Energy,355,"AB Klaipedos nafta engages in oil terminal, oil products transshipment, and other related activities primarily in Lithuania. It operates through LNGT, OT, and comLNG segments. The company also operates liquefied natural gas terminals. It transships oil products, including diesel fuel of various types, gasoline of various types, jet fuel, fuel oil of various types, technological fuel, vacuum gas oil, and crude oil products, as well as other products, such as ethanol, nonethylene glycol, and fatty acid methyl ester; reloads crude oil and oil products into trucks; and accumulates and stores crude oil and oil products. The company also engages in the collection of wastewaters from sea vessels; mooring; inspection of parameters of oil products; blending of heavy and light oil products; and supply of fuel and water to vessels. In addition, it stores and handles oil products; and adds bio-additives and marks substances to oil products. The company was founded in 1857 and is based in Klaipeda, Lithuania.",Klaipeda,370 46 391 772,Lithuania,[],https://www.kn.lt,1,Buriu Street 19,370 46 311 399,Oil & Gas Midstream,0.22537,-1.07462,0.21087,31666000,0.134,0.08859,14910000,,none,9192000,15040750,,0.231,,1.225,0.00611,,,323.305,-0.42668998,,63468000,424014016,66158000,0.167,EUR,0.174,1.181,,LIT,Klaipedos Nafta,AB Klaipedos nafta,Europe/Vilnius,EET,False,7200000,,EQUITY,KNF1L.VS,,,finmb_9829876,650b4924-a03c-35dc-8ed5-e114841cc5ac,vs_market,,6.686,,29.667,,,,,380396992,,,,0.548,,,,1640908800,0.0053899996,-71013000,0.064,,,0.42153287,0.829,1703980800,,1656547200,,,65047816,0.573916,442331264,4,,,,,,,1.3282098,,,,,,,,,,0.23,0.23,0.26339,0.086956516,0,,0.233,,29223,0.23,0.22073,0.02,0.23,29223,,,,1620777600,,,0.23,EUR,3.609375,3766,,,,87871704,,,43929,0.23,0.231,0,3766,0.312,,,0.203,0.23,False,,0,0.233,0.231,,https://logo.clearbit.com/kn.lt,,
LHV1T.TL,10145,Financial Services,820,"AS LHV Group, through its subsidiaries, provides various banking products and services to private and business clients in Estonia. It operates through Retail Banking, Corporate Banking, Asset Management, Hire Purchase, Financial Intermediaries, and Insurance segments. The company offers demand and fixed-term deposits; pension investment and securities accounts; cash pool, entrepreneur, non-resident, and child accounts; home and private, consumer, refinancing, car, home repair, furnishing, health and beauty, student, micro, working capital, investment, margin, and apartment association loans; and overdrafts, leasing, hire-purchase, guarantees, letters of credit, documentary collection, and factoring services, as well as financing the acquisition of a company. It also provides home, casco, motor third-party liability, equipment, dwelling, warranty, and travel insurance products. In addition, the company offers pension investment account, micro investment, securities and growth account, trading and brokerage services, and portfolio management services; private and business banking cards; payments and e-invoices; and investment advices, as well as mobile banking and ATM services. AS LHV Group was founded in 1999 and is based in Tallinn, Estonia.",Tallinn,372 6 800 400,Estonia,[],https://www.lhv.ee,1,Tartu mnt 2,372 6 800 410,Banks—Regional,0.0,0.36349,0.0,-541158016,0.063,0.46056998,,,none,136434000,,,3.175,-0.4,,0.00885,,,,0.16726999,,2995900928,616313984,150168000,9.498,EUR,0.489,,,TAL,LHV Group,AS LHV Group,Europe/Tallinn,EET,False,7200000,,EQUITY,LHV1T.TL,,,finmb_249328052,04280560-dcd6-3bd0-a56e-acb30c3bb449,tl_market,,-9.536,,,,,0.75,,29118900,,,,8.622,,,,1640908800,0.05815,54585000,1.419,,,0.36824402,0.45241,1703980800,,1664496000,,,89003340,0.909442,-1431950848,4,,,,,,-0.354,0.6156605,,,,4.233333,,,,,,3.13,3.15,3.5658307,0.092651755,,,3.19,,38294,3.13,3.1539,0.29,3.15,38294,,,0.04,1649808000,,,3.145,EUR,2.2374911,40733,,,,92452504,,,54931,3.145,3.175,0,40733,4.494364,,1.32,2.9,3.17,False,0.0135,0,3.19,3.175,,https://logo.clearbit.com/lhv.ee,,
MRK1T.TL,11314,Industrials,670,"AS Merko Ehitus, through its subsidiaries, engages in the construction and real estate development activities in the Republic of Estonia, Latvia, Lithuania, and Norway. It operates through Construction Service and Real Estate Development segments. The company constructs various buildings, including commercial and office buildings, retail and entertainment centers, hotels, and spas, as well as public buildings, dwellings, and specific industrial buildings. It also designs and constructs various infrastructure facilities, such as port, waste handling, and road infrastructure, including bridges, tunnels, overpasses, and roads; environment protection facilities; drinking water and waste water treatment facilities; water and sewerage mains; and other engineering and technical sites. In addition, the company provides road maintenance and repair services; and machinery repair services. Further, it undertakes supervision of excavation works and condition of roads; and concrete works that include buildings and infrastructure constructed of prefabricated or concrete panels. Additionally, the company develops apartment projects, long-term real estate investments, and real estate projects for business purposes; and maintains and leases real estate properties. The company was founded in 1990 and is based in Tallinn, the Republic of Estonia. AS Merko Ehitus is a subsidiary of AS Riverito.",Tallinn,372 6 501 250,Estonia,[],https://group.merko.ee,1,JAervevana tee 9G,372 6 501 251,Engineering & Construction,0.083330005,0.076,0.13397999,-26228000,0.024,0.07895,29142000,,none,46812000,-37045248,,14.14,-0.344,1.783,0.05276,,,57.517,0.17382999,,16773000,90007000,349712992,0.948,EUR,19.758,0.377,,TAL,Merko Ehitus,AS Merko Ehitus,Europe/Tallinn,EET,False,7200000,,EQUITY,MRK1T.TL,,,finmb_44673446,32f3aa74-ed7a-3b5c-8b7f-dc708b4c196f,tl_market,,0.879,,10.546,,,,,17700000,,,,8.657,,,,1640908800,0.03497,26579000,1.299,,,1.6333604,0.76899004,1703980800,,1656547200,,,4269948,0.631578,307342016,2,,,,,,-0.344,0.7156669,,,,,,,,,,14.12,14.12,14.3814,0.07082153,0.66230005,,14.18,,1622,14.12,13.3676,1,14.12,1622,,,1,1654214400,,,14.08,EUR,10.885297,513,,,,250278000,,,2737,14.08,14.14,0,513,16.96,,,11.6,14.06,False,0.075500004,0,14.18,14.14,,https://logo.clearbit.com/group.merko.ee,,
NCN1T.TL,10149,Industrials,671,"Nordecon AS operates as a construction company in Estonia, Sweden, Finland, and Ukraine. The company operates in Buildings and Infrastructure segments. It is involved in the general contracting and project management. The company engages in the construction of commercial, residential, industrial, and public buildings; road construction and maintenance; specialist and environmental engineering; and concrete works and housing development. Further, it is involved in road maintenance and traffic management services, building and infrastructure design services, geodetic surveys, and rental of road construction and earth moving machines, as well as carries out infrastructure works as a subcontractor. The company was formerly known as Nordecon International AS and changed its name to Nordecon AS in January 2011. Nordecon AS was founded in 1988 and is based in Tallinn, Estonia. Nordecon AS is a subsidiary of AS Nordic Contractors.",Tallinn,372 6 154 400,Estonia,[],https://www.nordecon.com,1,Toompuiestee 35,372 6 154 401,Engineering & Construction,0.0033000002,-0.01591,0.028900001,5573000,0.171,0.00028,1055000,,none,7367000,8361375,,0.729,,0.913,0.00037,,,87.91,-0.103140004,,4967000,24177000,319824000,0.158,EUR,10.144,0.591,,TAL,Nordecon,Nordecon AS,Europe/Tallinn,EET,False,7200000,,EQUITY,NCN1T.TL,,,finmb_27339655,891291c5-a5f7-3335-8268-71b7fa605913,tl_market,,0.145,,43.932,,,,,30756700,,,,1.074,,,,1640908800,0.0,-5090000,0.078,,,0.6787709,0.73235,1703980800,,1656547200,,,6722525,0.650541,46348440,4,,1180051200,2:1,,,,0.07010616,,,,,,,,,,0.735,0.738,0.8548,0.08163265,0,,0.738,,5525,0.735,0.75018,0.06,0.738,5525,,,,1623628800,,,0.72,EUR,9.346153,1194,,,,22421634,,,7352,0.72,0.738,0,1194,1.29,,,0.681,0.73,False,,0,0.738,0.729,,https://logo.clearbit.com/nordecon.com,,
NTU1L.VS,44245,Consumer Cyclical,160,"Novaturas AB engages in the tour operator and travel agency activities in the Baltic States. The company operates through Flight Packages, Sightseeing Tours by Plane, Sightseeing Tours by Coach, and Other segments. It offers summer and winter holiday packages, as well as sightseeing tours by coach and aircraft to approximately 30 destinations worldwide. The company also sells flight tickets and hotel accommodations. It offers its products through retail travel agencies and internal sales channels, as well as an e-commerce platform. The company was incorporated in 1999 and is headquartered in Kaunas, Lithuania.",Kaunas,370 37 321 264,Lithuania,[],https://www.novaturasgroup.com,1,A. Mickeviciaus Street 27,370 37 321 130,Travel Services,-0.0004,-0.01091,0.09432,-924000,1.65,-0.00046,-69000,,none,13489000,50375,,3.0,,0.752,-0.00090000004,,,103.723,-0.13033,,8048000,13931000,171528000,1.031,EUR,21.971,0.37,,LIT,Novaturas,Novaturas AB,Europe/Vilnius,EET,False,7200000,,EQUITY,NTU1L.VS,,,finmb_9273172,2ab362d7-716e-3af7-884f-662661822b2a,vs_market,,0.156,,-387.414,,,,,7807000,,,,1.501,,,,1640908800,0.00961,-1871000,-0.618,,,1.9986675,0.57757,1703980800,,1656547200,,,3161835,1.045819,26731594,4,,,,,,,0.1365433,,,,,,,,,,2.988,2.98,3.41007,0.45046854,0,,3.008,,6774,2.988,2.75906,1.346,2.98,6774,,,,1539216000,,,2.978,EUR,,1658,,,,23421000,,,4148,2.978,3.0,0,1658,4.17,,,2.5,2.996,False,,0,3.008,3.0,,https://logo.clearbit.com/novaturasgroup.com,,
PKG1T.TL,11316,Real Estate,72,"AS Pro Kapital Grupp, a real estate development company, develops, manages, purchases, and sells commercial and residential real estate properties in Estonia, Latvia, and Lithuania. The company develops and sells apartments; develops and leases retail and office premises, as well as develops shopping and entertainment centers in Tallinn; and provides maintenance and other services. It also operates a hotel in Germany. The company was founded in 1994 and is based in Tallinn, Estonia.",Tallinn,372 61 44920,Estonia,[],https://www.prokapital.com,1,Sõjakooli 11,,Real Estate—Diversified,0.17403,0.18693,0.27059,28366000,12.479,0.17066,11657000,,none,10576000,22598124,,0.628,-0.814,2.158,0.05909,,,103.568,0.30773002,,15208000,48624000,66982000,0.268,EUR,1.182,0.534,,TAL,Pro Kapital Grupp,AS Pro Kapital Grupp,Europe/Tallinn,EET,False,7200000,,EQUITY,PKG1T.TL,,,finmb_22038755,86ea82ba-b118-38ba-b3b0-b8e371f28edb,tl_market,,1.066,,6.125,,,,,56688000,,,,0.309,,,,1640908800,0.0,12521000,-0.946,,,2.0323627,0.0986,1703980800,,1656547200,,,20651422,0.809984,71396928,4,,,,,,-0.814,0.53148705,,,,,,,,,,0.628,0.63,0.934955,0.023885349,0,,0.63,,13201,0.628,0.6562,0.015,0.63,13201,,,,1515110400,,,0.628,EUR,,371,,,,35600064,,,6024,0.628,0.628,0,371,1.58,,,0.62,0.622,False,,0,0.63,0.628,,https://logo.clearbit.com/prokapital.com,,
