,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
APG1L.VS,,,13211000.0,,10896000.0,71386000.0,82230000.0,13285000.0,13285000.0,-2441000.0,-1099000.0,,,,2315000.0,189745000.0,176460000.0,107515000.0,-74000.0,,10896000.0,10896000.0
ARC1T.TL,,,2179000.0,,2071000.0,1306000.0,3029000.0,1793000.0,1793000.0,-70000.0,-447000.0,,,,108000.0,11613000.0,9820000.0,8584000.0,386000.0,,2071000.0,2071000.0
AUG1L.VS,,,-16278000.0,358000.0,-15427000.0,14321000.0,6724000.0,-7395000.0,-7395000.0,-202000.0,-4456000.0,,,,-843000.0,71721000.0,79116000.0,64997000.0,-8883000.0,,-15435000.0,-15613000.0
BLT1T.TL,,,-2835000.0,,-2900000.0,9551000.0,6120000.0,-2378000.0,-2378000.0,-1053000.0,-330000.0,,,,65000.0,11770000.0,14148000.0,5650000.0,-457000.0,,-2900000.0,-2900000.0
CPA1T.TL,,,14288000.0,,13463000.0,17910000.0,37145000.0,0.0,14692000.0,4543000.0,,,,,825000.0,37145000.0,22453000.0,0.0,-404000.0,,13463000.0,13463000.0
DGR1R.RG,,,5203024.0,,4223833.0,9724026.0,17681568.0,0.0,5203237.0,2754305.0,,,,,979191.0,21628151.0,16424914.0,3946583.0,-213.0,,4223833.0,4223833.0
EEG1T.TL,,,4409000.0,140000.0,2243000.0,9247000.0,13295000.0,4447000.0,4447000.0,-399000.0,-709000.0,,,,276000.0,53516000.0,49069000.0,40221000.0,-38000.0,-1876000.0,4133000.0,2243000.0
EGR1T.TL,,,81246000.0,,79661000.0,1251000.0,130382000.0,83331000.0,83331000.0,7654000.0,-2816000.0,,,,1585000.0,183052000.0,99721000.0,52670000.0,-2085000.0,,79661000.0,79661000.0
GRG1L.VS,,,13635000.0,713000.0,12266000.0,19077000.0,32918000.0,13772000.0,13772000.0,69000.0,-194000.0,,,,1250000.0,163215000.0,149443000.0,130297000.0,-137000.0,,12385000.0,12266000.0
HAE1T.TL,,,2978000.0,-138000.0,2598000.0,14962000.0,17880000.0,3202000.0,3202000.0,-284000.0,-41000.0,,,,368000.0,152757000.0,149555000.0,134877000.0,-224000.0,,2610000.0,2598000.0
HMX1R.RG,,,-1938590.0,,-1952310.0,2892965.0,3146263.0,952995.0,952995.0,-699697.0,-565415.0,,,,13720.0,21962274.0,21009279.0,18816011.0,-2891585.0,,-1952310.0,-1952310.0
HPR1T.TL,,,1689000.0,133000.0,-22000.0,1213000.0,3059000.0,1880000.0,1880000.0,-34000.0,-434000.0,,,,-44000.0,14961000.0,13081000.0,11902000.0,-191000.0,,1733000.0,-22000.0
IGN1L.VS,,,168457000.0,,153904000.0,97354000.0,457218000.0,202474000.0,202474000.0,33887000.0,-23638000.0,,,,14553000.0,1868917000.0,1666443000.0,1411699000.0,-34017000.0,,153904000.0,153904000.0
KNF1L.VS,,,-75767000.0,,-64011000.0,6813000.0,9192000.0,1450000.0,1450000.0,1122000.0,-2281000.0,,,,-11756000.0,61811000.0,60361000.0,52619000.0,-77217000.0,,-64011000.0,-63929000.0
LHV1T.TL,,,71249000.0,8384000.0,58261000.0,65185000.0,136434000.0,0.0,71249000.0,,,,,,10986000.0,136434000.0,65185000.0,0.0,0.0,,60263000.0,58261000.0
MRK1T.TL,,,32127000.0,-227000.0,29140000.0,17536000.0,46812000.0,29975000.0,29975000.0,-699000.0,-681000.0,,,,3104000.0,339375000.0,309400000.0,292563000.0,2152000.0,,29023000.0,29140000.0
NCN1T.TL,,,-4698000.0,2929000.0,-6310000.0,6612000.0,7367000.0,-1290000.0,-1290000.0,2045000.0,-982000.0,,,,808000.0,288534000.0,289824000.0,281167000.0,-3408000.0,,-5506000.0,-6310000.0
NTU1L.VS,,,938000.0,,909000.0,11195000.0,13489000.0,2403000.0,2403000.0,-109000.0,-1098000.0,,,,29000.0,108995000.0,106592000.0,95506000.0,-1465000.0,,909000.0,909000.0
PKG1T.TL,,,33862000.0,,29757000.0,5760000.0,10576000.0,4497000.0,4497000.0,319000.0,-5945000.0,,,,-10000.0,43095000.0,38598000.0,32519000.0,29365000.0,-4115000.0,33872000.0,29757000.0
PTR1L.VS,,,4205000.0,1230000.0,3049000.0,9759000.0,12168000.0,2512000.0,2512000.0,-98000.0,-484000.0,,,,706000.0,98451000.0,95939000.0,86283000.0,1693000.0,,3499000.0,3049000.0
PZV1L.VS,,,978000.0,,1223000.0,30458000.0,31863000.0,1574000.0,1574000.0,6000.0,-717000.0,,,,-245000.0,176692000.0,175118000.0,144829000.0,-596000.0,,1223000.0,1223000.0
RSU1L.VS,,,596000.0,,553000.0,16900000.0,17487000.0,535000.0,535000.0,52000.0,-369000.0,,,,43000.0,253062000.0,252527000.0,235575000.0,61000.0,,553000.0,553000.0
SAB1L.VS,,,67262000.0,,55223000.0,31807000.0,123205000.0,0.0,66441000.0,24957000.0,,,,,12039000.0,123205000.0,56764000.0,0.0,821000.0,,55223000.0,55223000.0
SFG1T.TL,,,14157000.0,3713000.0,9031000.0,12128000.0,25410000.0,13030000.0,13030000.0,252000.0,-452000.0,,,,4233000.0,46686000.0,33656000.0,21276000.0,1127000.0,,9924000.0,9031000.0
TAL1T.TL,,,-58998000.0,,-56576000.0,74895000.0,21244000.0,-50707000.0,-50707000.0,-3043000.0,-21846000.0,,,,-2422000.0,476937000.0,527644000.0,455693000.0,-8291000.0,,-56576000.0,-56576000.0
TEL1L.VS,,,58845000.0,,56808000.0,16631000.0,196330000.0,61139000.0,61139000.0,41693000.0,-3360000.0,,,,2037000.0,420794000.0,359655000.0,224464000.0,-2294000.0,,56808000.0,56808000.0
TKM1T.TL,,,36496000.0,,32016000.0,116225000.0,214409000.0,39961000.0,39961000.0,20107000.0,-4804000.0,,,,4480000.0,821648000.0,781687000.0,607239000.0,-3465000.0,,32016000.0,32016000.0
TSM1T.TL,,,28887000.0,,25612000.0,250000.0,56090000.0,28259000.0,28259000.0,3057000.0,-1369000.0,,,,3275000.0,110051000.0,81792000.0,53961000.0,628000.0,,25612000.0,25612000.0
TVE1T.TL,,,18399000.0,,16165000.0,4900000.0,20579000.0,15139000.0,15139000.0,540000.0,-360000.0,,,,2234000.0,53294000.0,38155000.0,32715000.0,3260000.0,,16165000.0,16165000.0
VLP1L.VS,,,6156000.0,133000.0,5536000.0,7096000.0,17161000.0,9922000.0,9922000.0,49000.0,-1002000.0,,,,656000.0,156045000.0,146123000.0,138884000.0,-3766000.0,,5500000.0,5536000.0
